RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31
394577,317,"Eureka, CA",msa,CA,304032.0,303896.0,309843.0,300998.0,295425.0,301372.0,308188.0,315400.0,308454.0,309390.0,314570.0,319289.0,319180.0,317201.0,314329.0,315720.0,312083.0,309261.0,313136.0,315960.0,320575.0,316851.0,308621.0,314993.0,319111.0,332964.0,336759.0,343018.0,347301.0,350070.0,358592.0,356822.0,364926.0,369897.0,383749.0,388762.0,385867.0,390629.0,392956.0,404038.0,413510.0,418236.0,423397.0,422295.0,427839.0,439365.0,440386.0,448988.0
395117,318,"Springfield, OH",msa,OH,108986.0,108025.0,107104.0,113689.0,116879.0,115833.0,113146.0,111905.0,116258.0,117899.0,121115.0,121672.0,121683.0,120384.0,122594.0,120270.0,122164.0,124417.0,124184.0,124384.0,117320.0,123301.0,120539.0,123838.0,121648.0,125329.0,130247.0,136955.0,137773.0,135968.0,132384.0,133678.0,133623.0,133633.0,131851.0,134116.0,138533.0,143889.0,145396.0,145925.0,145494.0,150347.0,150506.0,146710.0,142357.0,142226.0,151489.0,156917.0
394368,319,"Battle Creek, MI",msa,MI,114485.0,113988.0,115071.0,117289.0,122240.0,119493.0,118867.0,119789.0,126260.0,129872.0,129950.0,126668.0,123066.0,122210.0,127864.0,127678.0,129060.0,124100.0,125224.0,129738.0,135466.0,135382.0,128685.0,124263.0,127727.0,130538.0,135260.0,139712.0,144356.0,142524.0,136819.0,135424.0,138901.0,141788.0,143782.0,146468.0,150921.0,158057.0,155006.0,157314.0,153313.0,153771.0,152355.0,150926.0,149293.0,153669.0,157824.0,165377.0
394307,320,"Albany, OR",msa,OR,243849.0,243639.0,246555.0,244407.0,244367.0,243537.0,251467.0,254816.0,259743.0,255338.0,256281.0,258721.0,261368.0,261972.0,258815.0,263654.0,268407.0,273931.0,276129.0,278179.0,282286.0,280242.0,280913.0,282979.0,293570.0,295859.0,299927.0,296394.0,301917.0,304565.0,309965.0,320004.0,324863.0,328282.0,331845.0,337459.0,344428.0,348190.0,350928.0,354766.0,356529.0,358865.0,362002.0,367207.0,371476.0,382180.0,386516.0,391254.0
394890,321,"Mount Vernon, WA",msa,WA,317897.0,323591.0,318871.0,329363.0,327207.0,334270.0,330722.0,333112.0,341283.0,348316.0,356489.0,351911.0,351205.0,343819.0,348099.0,349544.0,351989.0,350802.0,360774.0,363831.0,367950.0,369993.0,378441.0,387365.0,391032.0,396700.0,398062.0,400535.0,402736.0,408860.0,422020.0,436570.0,446595.0,451072.0,460780.0,470348.0,475897.0,476965.0,487430.0,491726.0,497828.0,499378.0,502743.0,507085.0,530497.0,538376.0,548103.0,528960.0
394821,322,"Manhattan, KS",msa,KS,,162816.0,166545.0,168563.0,164141.0,177462.0,181218.0,191813.0,178412.0,178042.0,170839.0,168462.0,168067.0,175740.0,185766.0,191134.0,178419.0,177236.0,170020.0,180104.0,178539.0,183750.0,181752.0,189871.0,192366.0,189783.0,181123.0,176373.0,180587.0,182830.0,181305.0,183921.0,191508.0,200177.0,195336.0,198049.0,204717.0,209967.0,203764.0,198433.0,204814.0,201848.0,202792.0,188993.0,198984.0,199763.0,205982.0,202662.0
394810,323,"Lumberton, NC",msa,NC,86744.0,99929.0,100430.0,99059.0,93836.0,93706.0,96799.0,94794.0,93321.0,88522.0,80346.0,76530.0,82894.0,92028.0,99940.0,110356.0,108104.0,119347.0,104422.0,104475.0,100612.0,94910.0,94555.0,97572.0,101614.0,106362.0,99573.0,112565.0,113306.0,117110.0,115350.0,123173.0,130562.0,135306.0,127983.0,117882.0,120523.0,120863.0,132506.0,122746.0,134594.0,127808.0,140097.0,143695.0,152473.0,146284.0,135381.0,135676.0
394390,324,"Bismarck, ND",msa,ND,254556.0,250849.0,245569.0,236197.0,229137.0,241513.0,243333.0,257575.0,251151.0,257680.0,251067.0,256692.0,259838.0,260249.0,252789.0,252902.0,259445.0,261593.0,260777.0,257246.0,254346.0,251090.0,256162.0,264525.0,272786.0,270336.0,269198.0,270709.0,271080.0,268197.0,262613.0,260656.0,263379.0,266161.0,265624.0,268219.0,277596.0,280793.0,279870.0,272160.0,273167.0,272589.0,276245.0,273531.0,282843.0,290192.0,298798.0,286862.0
395098,326,"Sierra Vista, AZ",msa,AZ,156838.0,161136.0,160606.0,161102.0,159246.0,162861.0,163052.0,162237.0,160489.0,167014.0,173017.0,176552.0,170225.0,171291.0,168759.0,173463.0,171100.0,174386.0,175200.0,179549.0,181310.0,185101.0,182999.0,183809.0,185132.0,190317.0,199179.0,203782.0,200273.0,193747.0,191397.0,194866.0,196688.0,200152.0,205753.0,215642.0,215420.0,213513.0,212911.0,217352.0,227268.0,231126.0,239425.0,244034.0,248026.0,246821.0,247435.0,246872.0
394780,327,"Lawton, OK",msa,OK,132768.0,128232.0,130231.0,128030.0,131537.0,138712.0,140154.0,142833.0,134323.0,132064.0,134828.0,133828.0,137385.0,137848.0,142340.0,138775.0,137425.0,138581.0,151595.0,146789.0,144162.0,136210.0,138974.0,145886.0,143672.0,149735.0,149536.0,151584.0,143213.0,137710.0,142065.0,144457.0,142196.0,139067.0,136312.0,139982.0,138726.0,144499.0,145078.0,150587.0,146805.0,150108.0,144704.0,149914.0,147075.0,149087.0,149177.0,156780.0
