project_name,project_name_crawl,project_name_hd,address,city,district,ward,lat_cdnt,long_cdnt,alias,alias_cum_perc,sector,building,max_building_num,project_name_accent_rm
Khu Đô Thị Sunshine,Khu đô thị Sunshine,,"Đường Tỉnh lộ 8, Thị trấn Ea Pốk, Cư M'gar, Đắk Lắk.",T. Đắk Lắk,H. Cư M'gar,X. Cư M'gar,,,,,,,,Khu Do Thi Sunshine
Khu Đô Thị Sunrise Residence,Khu đô thị Sunrise Residence,,"Đường Quốc lộ 47, Xã Quảng Phú, Thanh Hóa, Thanh Hóa.",T. Thanh Hóa,TP. Thanh Hóa,P. Quảng Phú,,,,,,,,Khu Do Thi Sunrise Residence
Khu Đô Thị South Center,Khu đô thị South Center,,"Đường Nguyễn Thị Bẹ, Thị trấn Cần Giuộc, Cần Giuộc, Long An.",T. Long An,H. Cần Giuộc,X. Long An,,,,,,,,Khu Do Thi South Center
Khu Đô Thị Sinh Thái Sông Đơ,Khu đô thị sinh thái Sông Đơ,,"Phường Trường Sơn, Sầm Sơn, Thanh Hóa.",T. Thanh Hóa,TP. Sầm Sơn,P. Trường Sơn,,,,,,,,Khu Do Thi Sinh Thai Song Do
Khu Đô Thị Sinh Thái Phước Hòa,Khu đô thị sinh thái Phước Hòa,,"Đường DH507, Xã Minh Thành, Chơn Thành, Bình Phước.",T. Bình Phước,H. Chơn Thành,X. Minh Thành,,,,,,,,Khu Do Thi Sinh Thai Phuoc Hoa
Khu Đô Thị Sinh Thái Long Cang,Khu đô thị sinh thái Long Cang,,"Đường 833B, Xã Long Cang, Cần Đước, Long An.",T. Long An,H. Cần Đước,X. Long Cang,,,,,,,,Khu Do Thi Sinh Thai Long Cang
Khu Đô Thị Sinh Thái Hồng Hạc - Xuân Lâm,Khu đô thị sinh thái Hồng Hạc - Xuân Lâm,,"Xã Xuân Lâm, Thuận Thành, Bắc Ninh.",T. Bắc Ninh,H. Thuận Thành,X. Xuân Lâm,,,,,,,,Khu Do Thi Sinh Thai Hong Hac - Xuan Lam
Khu Đô Thị Sinh Thái Ecorio,Khu đô thị sinh thái Ecorio,,"Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng.",TP. Đà Nẵng,Q. Liên Chiểu,P. Hòa Hiệp Nam,,,,,,,,Khu Do Thi Sinh Thai Ecorio
Khu Đô Thị Sinh Thái Biển Ae Resort,Khu đô thị sinh thái biển AE Resort,,"Xã Vĩnh Thạch, Vĩnh Linh, Quảng Trị.",T. Quảng Trị,H. Vĩnh Linh,UNK,,,,,,,,Khu Do Thi Sinh Thai Bien Ae Resort
Khu Đô Thị Sinh Thái An Phú Long Garden,Khu đô thị sinh thái An Phú Long Garden,,"Đường ĐT 750, Xã An Long, Phú Giáo, Bình Dương.",T. Bình Dương,H. Phú Giáo,X. An Long,,,,,,,,Khu Do Thi Sinh Thai An Phu Long Garden
Khu Đô Thị Sapphia Villas,Khu đô thị Sapphia Villas,,"Đường Nguyễn Văn Bứa, Xã Đức Lập Thượng, Đức Hòa, Long An.",T. Long An,H. Đức Hòa,X. Đức Lập Thượng,,,,,,,,Khu Do Thi Sapphia Villas
Khu Đô Thị Saphia,Khu đô thị Saphia,,"Đường Võ Nguyên Giáp, phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng.",TP. Đà Nẵng,Q. Ngũ Hành Sơn,P. Hòa Hải,,,,,,,,Khu Do Thi Saphia
Khu Đô Thị Sao Vàng,Khu đô thị Sao Vàng,,"Đường Tỉnh lộ 824, Xã Hoà Khánh Đông, Đức Hòa, Long An.",T. Long An,H. Đức Hòa,X. Hòa Khánh Đông,,,,,,,,Khu Do Thi Sao Vang
Khu Đô Thị Sao Mai Xuân Thịnh,Khu đô thị Sao Mai Xuân Thịnh,,"Đường 47, Xã Thọ Dân, Triệu Sơn, Thanh Hóa.",T. Thanh Hóa,H. Triệu Sơn,X. Thọ Dân,,,,,,,,Khu Do Thi Sao Mai Xuan Thinh
Khu Đô Thị Sala An Bình,Khu đô thị Sala An Bình,,"Đường Tỉnh Lộ 10, Thị trấn Đức Hòa, Đức Hòa, Long An.",T. Long An,H. Đức Hòa,TT. Đức Hòa,,,,,,,,Khu Do Thi Sala An Binh
Khu Đô Thị Sa Động,Khu đô thị Sa Động,,"Đường Võ Nguyên Giáp, Xã Bảo Ninh, Đồng Hới, Quảng Bình.",T. Quảng Bình,TP. Đồng Hới,X. Bảo Ninh,,,,,,,,Khu Do Thi Sa Dong
Khu Đô Thị Rùa Vàng City,Khu đô thị Rùa Vàng City,,"Đường Quốc lộ 1A, Thị trấn Vôi, Lạng Giang, Bắc Giang.",T. Bắc Giang,H. Lạng Giang,TT. Vôi,,,,,,,,Khu Do Thi Rua Vang City
Khu Đô Thị Royal Garden,Khu đô thị Royal Garden,,"Phố Phong Châu, Phường Phước Hải, Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,P. Phước Hải,,,,,,,,Khu Do Thi Royal Garden
Khu Đô Thị Rosy Garden,Khu đô thị Rosy Garden,,"Đường Thụ Ninh, Phường Vạn An, Bắc Ninh, Bắc Ninh.",T. Bắc Ninh,TP. Bắc Ninh,P. Vạn An,,,,,,,,Khu Do Thi Rosy Garden
Khu Đô Thị Richhome 2,Khu đô thị RichHome 2,,"Phường Hòa Lợi, Thị xã Bến Cát, Tỉnh Bình Dương.",T. Bình Dương,TX. Bến Cát,UNK,,,,,,,,Khu Do Thi Richhome 2
Khu Đô Thị Richhome,Khu đô thị RichHome,,"Đường Quốc lộ 14, Xã Chánh Phú Hòa, Bến Cát, Bình Dương.",T. Bình Dương,TX. Bến Cát,P. Chánh Phú Hòa,,,,,,,,Khu Do Thi Richhome
Khu Đô Thị Quảng Tân,Khu đô thị Quảng Tân,,"Đường Quốc lộ 1A, Xã Quảng Tân, Quảng Xương, Thanh Hóa.",T. Thanh Hóa,H. Quảng Xương,UNK,,,,,,,,Khu Do Thi Quang Tan
Khu Đô Thị Quảng Lợi,Khu đô thị Quảng Lợi,,"Phường Tích Sơn, Vĩnh Yên, Vĩnh Phúc.",T. Vĩnh Phúc,TP. Vĩnh Yên,P. Tích Sơn,,,,,,,,Khu Do Thi Quang Loi
Khu Đô Thị Quảng Hồng,Khu đô thị Quảng Hồng,,"Đường Quốc lộ 18A, Phường Cẩm Sơn, Cẩm Phả, Quảng Ninh.",T. Quảng Ninh,TP. Cẩm Phả,P. Cẩm Sơn,,,,,,,,Khu Do Thi Quang Hong
Khu Đô Thị Quang Minh,Khu đô thị Quang Minh,,"Đường Cao tốc Thăng Long Nội Bài, Thị trấn Quang Minh, Mê Linh, Hà Nội.",TP. Hà Nội,H. Mê Linh,X. Mê Linh,,,,,,,,Khu Do Thi Quang Minh
Khu Đô Thị Qcl Yên Phong,Khu đô thị QCL Yên Phong,,"Đường Tỉnh lộ 286, Xã Long Châu, Yên Phong, Bắc Ninh.",T. Bắc Ninh,H. Yên Phong,X. Long Châu,,,,,,,,Khu Do Thi Qcl Yen Phong
Khu Đô Thị Pnr Estella,Khu đô thị PNR Estella,,"Đường 767, Xã Bắc Sơn, Trảng Bom, Đồng Nai.",T. Đồng Nai,H. Trảng Bom,X. Bắc Sơn,,,,,,,,Khu Do Thi Pnr Estella
Khu Đô Thị Picenza Plaza,Khu đô thị Picenza Plaza,,"Đường Quốc lộ 1B, Xã Đồng Bẩm, Thái Nguyên, Thái Nguyên.",T. Thái Nguyên,TP. Thái Nguyên,P. Đồng Bẩm,,,,,,,,Khu Do Thi Picenza Plaza
Khu Đô Thị Phức Hợp - Cảnh Quan Cát Tường Phú Hưng,Khu đô thị phức hợp - cảnh quan Cát Tường Phú Hưng,,"Đường Quốc lộ 14, Xã Tiến Hưng, Đồng Xoài, Bình Phước.",T. Bình Phước,TP. Đồng Xoài,X. Tiến Hưng,,,,,,,,Khu Do Thi Phuc Hop - Canh Quan Cat Tuong Phu Hung
Khu Đô Thị Phố Chợ Phú Khương,Khu đô thị Phố chợ Phú Khương,,"Đường Đồng Khởi, Phường Phú Khương, Bến Tre, Bến Tre.",T. Bến Tre,TP. Bến Tre,P. Phú Khương,,,,,,,,Khu Do Thi Pho Cho Phu Khuong
Khu Đô Thị Phượng Hoàng,Khu đô thị Phượng Hoàng,,"Đường Trần Nhân Tông, Xã Hải Xuân, Thành phố Móng Cái, Quảng Ninh.",T. Quảng Ninh,TP. Móng Cái,UNK,,,,,,,,Khu Do Thi Phuong Hoang
Khu Đô Thị Phước Lý,Khu đô thị Phước Lý,,"Phường Hòa An, Quận Cẩm Lệ và phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng.",TP. Đà Nẵng,Q. Cẩm Lệ,P. Hòa An,,,,,,,,Khu Do Thi Phuoc Ly
Khu Đô Thị Phước Hội,Khu đô thị Phước Hội,,"Đường Thống Nhất, Phường Phước Hội, La Gi, Bình Thuận.",T. Bình Thuận,TX. La Gi,P. Phước Hội,,,,,,,,Khu Do Thi Phuoc Hoi
Khu Đô Thị Phước Hòa Goldenland,Khu đô thị Phước Hòa GoldenLand,,"Xã Phước Hòa, Phú Giáo, Bình Dương.",T. Bình Dương,H. Phú Giáo,X. Phước Hòa,,,,,,,,Khu Do Thi Phuoc Hoa Goldenland
Khu Đô Thị Phương Đông,Khu đô thị Phương Đông,,"Xã Đông Xá, Vân Đồn, Quảng Ninh.",T. Quảng Ninh,H. Vân Đồn,X. Đông Xá,,,,,,,,Khu Do Thi Phuong Dong
Khu Đô Thị Phương Trường An,Khu đô thị Phương Trường An,,"Xã Tân Định, Bến Cát, Bình Dương.",T. Bình Dương,TX. Bến Cát,P. Tân Định,,,,,,,,Khu Do Thi Phuong Truong An
Khu Đô Thị Phương Toàn Phát Golden City,Khu đô thị Phương Toàn Phát Golden City,,"137 Đường ĐT 741, Phường Chánh Phú Hòa, Bến Cát, Bình Dương.",T. Bình Dương,TX. Bến Cát,P. Chánh Phú Hòa,,,,,,,,Khu Do Thi Phuong Toan Phat Golden City
Khu Đô Thị Phúc Đạt,Khu đô thị Phúc Đạt,,"Đường Mỹ Phước Tân Vạn, Phường Phú Lợi, Thủ Dầu Một, Bình Dương.",T. Bình Dương,TP. Thủ Dầu Một,P. Phú Lợi,,,,,,,,Khu Do Thi Phuc Dat
Khu Đô Thị Phúc Ninh,Khu đô thị Phúc Ninh,,"Đường Quốc lộ 1A, Bắc Ninh, Bắc Ninh.",T. Bắc Ninh,TP. Bắc Ninh,UNK,,,,,,,,Khu Do Thi Phuc Ninh
Khu Đô Thị Phúc Khánh 2,Khu đô thị Phúc Khánh 2,,"Đường Cao Bá Quát, Xã Diên An, Diên Khánh, Khánh Hòa.",T. Khánh Hòa,H. Diên Khánh,X. Diên An,,,,,,,,Khu Do Thi Phuc Khanh 2
Khu Đô Thị Phúc Hưng Golden,Khu đô thị Phúc Hưng Golden,,"Đường Quốc Lộ 13, Xã Minh Hưng, Chơn Thành, Bình Phước.",T. Bình Phước,H. Chơn Thành,X. Minh Hưng,,,,,,,,Khu Do Thi Phuc Hung Golden
Khu Đô Thị Phúc Hưng,Khu đô thị Phúc Hưng,,"284 Nguyễn Văn Linh, Phường Hiến Nam, Hưng Yên, Hưng Yên.",T. Hưng Yên,TP. Hưng Yên,P. Hiến Nam,,,,,,,,Khu Do Thi Phuc Hung
Khu Đô Thị Phúc Giang,Khu đô thị Phúc Giang,,"Đường Phan Văn Mảng, Thị trấn Bến Lức, Bến Lức, Long An.",T. Long An,H. Bến Lức,TT. Bến Lức,,,,,,,,Khu Do Thi Phuc Giang
Khu Đô Thị Phú Thuận Lợi,Khu đô thị Phú Thuận Lợi,,"Đường Bắc Sơn - Long Thành, Xã Tam Phước, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,P. Tam Phước,,,,,,,,Khu Do Thi Phu Thuan Loi
Khu Đô Thị Phú Mỹ An Huế,Khu đô thị Phú Mỹ An Huế,,"Khu A, Khu đô thị An Vân Dương, Phường An Đông, Huế, Thừa Thiên Huế.",T. Thừa Thiên - Huế,TP. Huế,P. Hương An,,,,,,,,Khu Do Thi Phu My An Hue
Khu Đô Thị Phú Mỹ An,Khu đô thị Phú Mỹ An,,"Đường Vân Đài Nữ Sĩ, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng.",TP. Đà Nẵng,Q. Ngũ Hành Sơn,P. Hòa Hải,,,,,,,,Khu Do Thi Phu My An
Khu Đô Thị Phú Lộc,Khu đô thị Phú Lộc,,"Phường Hoàng Văn Thụ, Thành phố Lạng Sơn, Lạng Sơn.",T. Lạng Sơn,TP. Lạng Sơn,UNK,,,,,,,,Khu Do Thi Phu Loc
Khu Đô Thị Phú Lãm,Khu đô thị Phú Lãm,,"Đường Ba La, Phường Phú Lãm, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Phú Lãm,,,,,,,,Khu Do Thi Phu Lam
Khu Đô Thị Phú Cát City,Khu đô thị Phú Cát City,,"Phú Cát City, Xã Thạch Hòa, Thạch Thất, Hà Nội.",TP. Hà Nội,H. Thạch Thất,X. Thạch Hòa,,,,,,,,Khu Do Thi Phu Cat City
Khu Đô Thị Phú An Thịnh,Khu đô thị Phú An Thịnh,,"Xã An Phú Tây, Bình Chánh, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Bình Chánh,X. Bình Chánh,,,,,,,,Khu Do Thi Phu An Thinh
Khu Đô Thị Phú An Khang,Khu đô thị Phú An Khang,,"Xã Nghĩa Phú, Quảng Ngãi, Quảng Ngãi.",T. Quảng Ngãi,TP. Quảng Ngãi,X. Nghĩa Phú,,,,,,,,Khu Do Thi Phu An Khang
Khu Đô Thị Pg An Đồng,Khu đô thị PG An Đồng,,"Xã An Đồng, An Dương, Hải Phòng.",TP. Hải Phòng,H. An Dương,X. An Đồng,,,,,,,,Khu Do Thi Pg An Dong
Khu Đô Thị Paris Elysor,Khu đô thị Paris Elysor,,"Phường Nam Ngạn, Thanh Hóa, Thanh Hóa.",T. Thanh Hóa,TP. Thanh Hóa,P. Nam Ngạn,,,,,,,,Khu Do Thi Paris Elysor
Khu Đô Thị Orchid City,Khu đô thị Orchid City,,"Đường Nguyễn Văn Cừ, Xã Phước An, Nhơn Trạch, Đồng Nai.",T. Đồng Nai,H. Nhơn Trạch,X. Phước An,,,,,,,,Khu Do Thi Orchid City
Khu Đô Thị Opus One Uông Bí,Khu đô thị Opus One Uông Bí,,"Đường Trần Quốc Toản, Phường Quang Trung, Thị xã Uông Bí, Quảng Ninh.",T. Quảng Ninh,TP. Uông Bí,UNK,,,,,,,,Khu Do Thi Opus One Uong Bi
Khu Đô Thị Ocean Park Vân Đồn,Khu đô thị Ocean Park Vân Đồn,,"Xã Hạ Long, Vân Đồn, Quảng Ninh.",T. Quảng Ninh,H. Vân Đồn,X. Hạ Long,,,,,,,,Khu Do Thi Ocean Park Van Don
Khu Đô Thị Núi Long,Khu đô thị Núi Long,,"Phường Đông Vệ, Thanh Hóa, Thanh Hóa.",T. Thanh Hóa,TP. Thanh Hóa,P. Đông Vệ,,,,,,,,Khu Do Thi Nui Long
Khu Đô Thị Nhơn Trạch,Khu đô thị Nhơn Trạch,,"Đường Nguyễn Hữu Cảnh, Xã Vĩnh Thanh, Nhơn Trạch, Đồng Nai.",T. Đồng Nai,H. Nhơn Trạch,X. Vĩnh Thanh,,,,,,,,Khu Do Thi Nhon Trach
Khu Đô Thị Ngũ Tượng Khải Hoàn,Khu đô thị Ngũ Tượng Khải Hoàn,,"Đường Đại Lộ Bình Dương, Xã Thới Hòa, Bến Cát, Bình Dương.",T. Bình Dương,TX. Bến Cát,P. Thới Hòa,,,,,,,,Khu Do Thi Ngu Tuong Khai Hoan
Khu Đô Thị Ngã Bảy,Khu đô thị Ngã Bảy,,"Đường Nguyễn Huệ, Phường Ngã Bảy, Ngã Bảy, Hậu Giang.",T. Hậu Giang,TP. Ngã Bảy,P. Ngã Bảy,,,,,,,,Khu Do Thi Nga Bay
Khu Đô Thị Ngân Câu - Ngân Giang,Khu đô thị Ngân Câu - Ngân Giang,,"Xã Điện Ngọc, huyện Điện Bàn, tỉnh Quảng Nam.",T. Quảng Nam,TX. Điện Bàn,P. Điện Ngọc,,,,,,,,Khu Do Thi Ngan Cau - Ngan Giang
Khu Đô Thị Nguyễn Sinh Cung,Khu đô thị Nguyễn Sinh Cung,,"Đường Nguyễn Sinh Cung, Phường Nghi Hương, Cửa Lò, Nghệ An.",T. Nghệ An,TX. Cửa Lò,P. Nghi Hương,,,,,,,,Khu Do Thi Nguyen Sinh Cung
Khu Đô Thị Nguyễn Huệ,Khu đô thị Nguyễn Huệ,,"Đường Phạm Hùng, Ngã Bảy, Hậu Giang.",T. Hậu Giang,TP. Ngã Bảy,P. Ngã Bảy,,,,,,,,Khu Do Thi Nguyen Hue
Khu Đô Thị NgọC BảO Viên,Khu đô thị Ngọc Bảo Viên,,"Đường Lê Lợi, Quảng Ngãi, Quảng Ngãi.",T. Quảng Ngãi,TP. Quảng Ngãi,UNK,,,,,,,,Khu Do Thi NgoC BaO Vien
Khu Đô Thị Newtown 9,Khu đô thị Newtown 9,,"Đường ĐT 742, Xã Vĩnh Tân, Tân Uyên, Bình Dương.",T. Bình Dương,TX. Tân Uyên,P. Vĩnh Tân,,,,,,,,Khu Do Thi Newtown 9
Khu Đô Thị Newtown 8,Khu đô thị Newtown 8,,"Đường ĐT 747, Phường Uyên Hưng, Tân Uyên, Bình Dương.",T. Bình Dương,TX. Tân Uyên,P. Uyên Hưng,,,,,,,,Khu Do Thi Newtown 8
Khu Đô Thị Nam Đồng Mạ,Khu đô thị Nam Đồng Mạ,,"Phố Tam Long, Việt Trì, Phú Thọ.",T. Phú Thọ,TP. Việt Trì,UNK,,,,,,,,Khu Do Thi Nam Dong Ma
Khu Đô Thị Nam Đầm Vạc,Khu đô thị Nam Đầm Vạc,,"Đường Ngô Quyền, Phường Khai Quang, Vĩnh Yên, Vĩnh Phúc.",T. Vĩnh Phúc,TP. Vĩnh Yên,P. Khai Quang,,,,,,,,Khu Do Thi Nam Dam Vac
Khu Đô Thị Nam Vĩnh Hải,Khu đô thị Nam Vĩnh Hải,,"Đường Nguyễn Khuyến, Phường Vĩnh Hải, Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,P. Vĩnh Hải,,,,,,,,Khu Do Thi Nam Vinh Hai
Khu Đô Thị Nam Trung Yên,Khu đô thị Nam Trung Yên,,"Phường Yên Hòa và Trung Hòa, quận Cầu Giấy và Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Yên Hòa,,,,,,,,Khu Do Thi Nam Trung Yen
Khu Đô Thị Nam Phúc Yên,Khu đô thị Nam Phúc Yên,,"Xã Nam Viêm, Phúc Yên, Vĩnh Phúc.",T. Vĩnh Phúc,TP. Phúc Yên,P. Nam Viêm,,,,,,,,Khu Do Thi Nam Phuc Yen
Khu Đô Thị Nam Phát,Khu đô thị Nam Phát,,"Đường Quốc Lộ 51, Xã Long An, Long Thành, Đồng Nai.",T. Đồng Nai,H. Long Thành,X. Long An,,,,,,,,Khu Do Thi Nam Phat
Khu Đô Thị Nam Long Hải Phòng,Khu đô thị Nam Long Hải Phòng,,"Xã Dương Quan, Thủy Nguyên, Hải Phòng.",TP. Hải Phòng,H. Thủy Nguyên,UNK,,,,,,,,Khu Do Thi Nam Long Hai Phong
Khu Đô Thị Nam Long,Khu đô thị Nam Long,,"Ngã ba Trần Trọng Cung và Huỳnh Tấn Phát, phường Tân Thuận Đông, Quận 7, TPHCM.",TP. Hồ Chí Minh,Q. 07,P. Tân Thuận Đông,,,,,,,,Khu Do Thi Nam Long
Khu Đô Thị Nam Hồng,Khu đô thị Nam Hồng,,"Xã Nam Hồng, Đông Anh, Hà Nội.",TP. Hà Nội,H. Đông Anh,X. Nam Hồng,,,,,,,,Khu Do Thi Nam Hong
Khu Đô Thị Nam Hùng Vương,Khu đô thị Nam Hùng Vương,,"Phường Nhơn Phú, Quy Nhơn, Bình Định.",T. Bình Định,TP. Quy Nhơn,P. Nhơn Phú,,,,,,,,Khu Do Thi Nam Hung Vuong
Khu Đô Thị Nam Cầu Tuyên Sơn,Khu đô thị Nam Cầu Tuyên Sơn,,"Đường Mỹ Đa Tây 5, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng.",TP. Đà Nẵng,Q. Ngũ Hành Sơn,P. Khuê Mỹ,,,,,,,,Khu Do Thi Nam Cau Tuyen Son
Khu Đô Thị Nam An Khánh,Khu đô thị Nam An Khánh,,"Đường Láng Hòa Lạc, Xã An Khánh, Hoài Đức, Hà Nội.",TP. Hà Nội,H. Hoài Đức,X. An Khánh,,,,,,,,Khu Do Thi Nam An Khanh
Khu Đô Thị Mỹ Trung,Khu đô thị Mỹ Trung,,"Đường Quốc Lộ 10, Phường Lộc Hòa, Nam Định, Nam Định.",T. Nam Định,TP. Nam Định,P. Lộc Hòa,,,,,,,,Khu Do Thi My Trung
Khu Đô Thị Mỹ Phước 4,Khu đô thị Mỹ Phước 4,,"Thới Hòa, Bến Cát, Bình Dương.",T. Bình Dương,TX. Bến Cát,P. Thới Hòa,,,,,,,,Khu Do Thi My Phuoc 4
Khu Đô Thị Mỹ Phước 3,Khu đô thị Mỹ Phước 3,,"Xã Thới Hòa, Bến Cát, Bình Dương.",T. Bình Dương,TX. Bến Cát,P. Thới Hòa,,,,,,,,Khu Do Thi My Phuoc 3
Khu Đô Thị Mỹ Gia Nam Đà Nẵng,Khu đô thị Mỹ Gia Nam Đà Nẵng,,"Khu đô thị mới Điện Nam Điện Ngọc, Điện Ngọc, Điện Bàn, Quảng Nam.",T. Quảng Nam,TX. Điện Bàn,P. Điện Ngọc,,,,,,,,Khu Do Thi My Gia Nam Da Nang
Khu Đô Thị Mỹ Gia,Khu đô thị Mỹ Gia,,"Phố Phùng Hưng, Xã Vĩnh Thái, Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,X. Vĩnh Thái,,,,,,,,Khu Do Thi My Gia
Khu Đô Thị Mới Đồng Cửa,Khu đô thị mới Đồng Cửa,,"Quốc lộ 31, trị trấn Đồi Ngô, Lục Nam, Bắc Giang.",T. Bắc Giang,H. Lục Nam,TT. Đồi Ngô,,,,,,,,Khu Do Thi Moi Dong Cua
Khu Đô Thị Mới Định Công,Khu đô thị mới Định Công,,"Phường Định Công, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Định Công,,,,,,,,Khu Do Thi Moi Dinh Cong
Khu Đô Thị Mới Đại Thanh,Khu đô thị mới Đại Thanh,,"Xã Tả Thanh Oai, Thanh Trì, Hà Nội.",TP. Hà Nội,H. Thanh Trì,X. Tả Thanh Oai,,,,,,,,Khu Do Thi Moi Dai Thanh
Khu Đô Thị Mới Đại Ngân,Khu đô thị mới Đại Ngân,,"Đường Nguyễn Văn Cừ, Phường An Khánh, Quận Ninh Kiều, Cần Thơ.",TP. Cần Thơ,Q. Ninh Kiều,P. An Khánh,,,,,,,,Khu Do Thi Moi Dai Ngan
Khu Đô Thị Mới Đại Kim - Định Công,Khu đô thị mới Đại Kim - Định Công,,"Phường Đại Kim và Định Công, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Định Công,,,,,,,,Khu Do Thi Moi Dai Kim - Dinh Cong
Khu Đô Thị Mới Đông Tăng Long,Khu đô thị mới Đông Tăng Long,,"Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Trường Thạnh,,,,,,,,Khu Do Thi Moi Dong Tang Long
Khu Đô Thị Mới Đông Sơn,Khu đô thị mới Đông Sơn,,"Xã Đông H­ưng - Đông Tân, huyện Đông Sơn và phư­ờng Phú Sơn, Thanh Hoá.",T. Thanh Hóa,H. Đông Sơn,UNK,,,,,,,,Khu Do Thi Moi Dong Son
Khu Đô Thị Mới Đông Bắc (Khu 1),Khu đô thị mới Đông Bắc (Khu 1),,"Đường Nguyễn Tri Phương, Phường Thanh Sơn, Phan Rang - Tháp Chàm, Ninh Thuận.",T. Ninh Thuận,TP. Phan Rang - Tháp Chàm,P. Thanh Sơn,,,,,,,,Khu Do Thi Moi Dong Bac (Khu 1)
Khu Đô Thị Mới Đinh Văn,Khu đô thị mới Đinh Văn,,"Đường Hùng Vương, Thị trấn Đinh Văn, Lâm Hà, Lâm Đồng.",T. Lâm Đồng,H. Lâm Hà,TT. Đinh Văn,,,,,,,,Khu Do Thi Moi Dinh Van
Khu Đô Thị Mới Yên Trung,Khu đô thị mới Yên Trung,,"Xã Thụy Hòa, Yên Phong, Bắc Ninh.",T. Bắc Ninh,H. Yên Phong,X. Thụy Hòa,,,,,,,,Khu Do Thi Moi Yen Trung
Khu Đô Thị Mới Xuân Thới Sơn,Khu đô thị mới Xuân Thới Sơn,,"xã Xuân Thới Sơn, Huyện Hóc Môn, TP. Hồ Chí Minh.",TP. Hồ Chí Minh,H. Hóc Môn,X. Xuân Thới Sơn,,,,,,,,Khu Do Thi Moi Xuan Thoi Son
Khu Đô Thị Mới Xuân Hòa,Khu đô thị mới Xuân Hòa,,"Phường Xuân Hoà, TP. Phúc Yên, tỉnh Vĩnh Phúc.",T. Vĩnh Phúc,TP. Phúc Yên,P. Xuân Hòa,,,,,,,,Khu Do Thi Moi Xuan Hoa
Khu Đô Thị Mới Vĩnh Hòa,Khu đô thị mới Vĩnh Hòa,,"Đường Phạm Văn Đồng, Phường Vĩnh Hòa, Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,P. Vĩnh Hòa,,,,,,,,Khu Do Thi Moi Vinh Hoa
Khu Đô Thị Mới Văn Quán,Khu đô thị mới Văn Quán,,"Phường Phúc La, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Phúc La,,,,,,,,Khu Do Thi Moi Van Quan
Khu Đô Thị Mới Văn Phú,Khu đô thị mới Văn Phú,,"Đường Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Phú La,,,,,,,,Khu Do Thi Moi Van Phu
Khu Đô Thị Mới Việt Hưng,Khu đô thị mới Việt Hưng,,"Phường Việt Hưng, Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,P. Việt Hưng,,,,,,,,Khu Do Thi Moi Viet Hung
Khu Đô Thị Mới Vinh Tân,Khu đô thị mới Vinh Tân,,"Đường Ngô Thì Nhậm, Phường Vinh Tân và Phường Trung Đô, Vinh, Nghệ An.",T. Nghệ An,TP. Vinh,P. Vinh Tân,,,,,,,,Khu Do Thi Moi Vinh Tan
Khu Đô Thị Mới Tương Bình Hiệp,Khu đô thị mới Tương Bình Hiệp,,"Đường Lê Chí Dân, Xã Tương Bình Hiệp, Thủ Dầu Một, Bình Dương.",T. Bình Dương,TP. Thủ Dầu Một,P. Tương Bình Hiệp,,,,,,,,Khu Do Thi Moi Tuong Binh Hiep
Khu Đô Thị Mới Tùng Phương,Khu đô thị mới Tùng Phương,,"Đường Quốc lộ 23, Xã Đại Thịnh, Mê Linh, Hà Nội.",TP. Hà Nội,H. Mê Linh,X. Đại Thịnh,,,,,,,,Khu Do Thi Moi Tung Phuong
Khu Đô Thị Mới Thịnh Liệt,Khu đô thị mới Thịnh Liệt,,"Đường Tân Mai, Phường Thịnh Liệt, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Thịnh Liệt,,,,,,,,Khu Do Thi Moi Thinh Liet
